Country,Students
Afghanistan,2
Albania,2
Argentina,1
Armenia,1
Australia,2
Austria,1
Azerbaijan,1
Bangladesh,1
Belarus,1
Benin,1
Bermuda,1
Bolivia,2
Botswana,8
Bulgaria,3
Burundi,2
Cambodia,1
Canada,20
China,15
Colombia,1
Dominican Republic,1
Egypt,1
Ethiopia,1
France,6
Georgia,2
Germany,2
Ghana,1
Greece,1
Guam,1
Guatemala,1
Haiti,1
Hong Kong,6
Hungary,3
India,2
Israel,1
Jamaica,1
Japan,4
Jordan,3
Kenya,7
Republic of Korea,19
Kuwait,1
Lao People’s Democratic Republic,2
Lesotho,1
Liberia,1
Libyan Arab Jamahiriya,1
Madagascar,1
Malawi,1
Malaysia,1
Mauritius,1
Mexico,1
Mongolia,2
Mozambique,1
Nepal,11
Netherlands,1
Nigeria,1
Norway,1
Pakistan,3
Peru,3
Poland,1
Qatar,1
Russian Federation,1
Saudi Arabia,1
Singapore,5
Spain,1
Sri Lanka,2
Swaziland,1
Sweden,1
Switzerland,2
Syrian Arab Republic,1
Taiwan,3
Tajikistan,1
United Republic of Tanzania,2
Thailand,4
Turkey,3
Uganda,4
United Arab Emirates,3
United Kingdom,7
Uzbekistan,2
Venezuela,1
Viet Nam,6
Yemen,1
Zimbabwe,6
